Observation_ID,Date,Year,Time,Behavior,Sender_ID,Sender_plumage_category,Sender_sex,Sender_age,Sender_age_exact,Receiver_ID,Receiver_sex,Receiver_age,Receiver_age_exact,Social_mate,Prev_breeding_group
OPP273,2016-07-23,2016,8H 31M 0S,Allopreening,FB5,Unornamented,F,1,exact,HB0,F,4,min,0,1
OPP274,2016-07-23,2016,8H 34M 0S,Allopreening,HB0,Unornamented,F,4,min,FJ5,F,2,exact,NA,1
OPP275,2016-07-23,2016,11H 43M 0S,Allopreening,HB1,Unornamented,M,2,exact,DE6,F,5,min,0,1
OPP276,2016-07-23,2016,11H 48M 0S,Chasing,HB1,Unornamented,M,2,exact,BF0,F,2,min,0,0
OPP277,2016-07-23,2016,11H 48M 0S,Chasing,DE6,Unornamented,F,5,min,BF0,F,2,min,0,0
OPP278,2016-07-24,2016,10H 30M 0S,Allopreening,EG5,Unornamented,F,2,min,CA3,M,2,exact,1,NA
OPP279,2016-07-24,2016,11H 23M 0S,Chasing,FG3,Unornamented,M,1,exact,BI9,F,3,min,1,NA
OPP280,2016-07-25,2016,12H 32M 0S,Chasing,DG0,Unornamented,M,2,exact,DE2,M,1,exact,0,NA
OPP281,2016-07-25,2016,7H 22M 0S,Courtship,HA7,Ornamented,M,4,exact,JH6,F,2,exact,1,0
OPP282,2016-07-23,2016,7H 47M 0S,Allopreening,DG0,Unornamented,M,2,exact,GH7,F,2,exact,NA,NA
OPP283,2016-07-28,2016,9H 40M 0S,Allopreening,JD1,Unornamented,M,2,min,BE9,F,3,exact,1,0
OPP284,2016-07-28,2016,7H 10M 0S,Allopreening,JD6,Unornamented,M,4,min,FC4,F,2,exact,1,0
OPP285,2016-07-28,2016,8H 44M 0S,Chasing,GD5,Unornamented,M,2,exact,AH8,M,1,exact,0,1
OPP286,2016-07-29,2016,12H 34M 0S,Chasing,JC3,Ornamented,M,3,exact,IE6,M,3,exact,0,0
OPP287,2016-07-29,2016,9H 26M 0S,Chasing,GD5,Unornamented,M,2,exact,JC0,F,2,exact,0,0
OPP288,2016-07-29,2016,8H 35M 0S,Allopreening,JC5,Unornamented,F,6,min,GG5,M,2,exact,0,0
OPP289,2016-07-29,2016,12H 26M 0S,Allopreening,DE8,Moulting,M,4,exact,CF3,F,2,exact,0,1
OPP290,2016-07-30,2016,10H 33M 0S,Allopreening,FA3,Unornamented,M,2,exact,HH7,F,2,exact,0,1
OPP291,2016-07-29,2016,9H 23M 0S,Allopreening,DA1,Unornamented,F,3,exact,GG4,M,2,exact,1,0
OPP292,2016-07-30,2016,8H 13M 0S,Allopreening,DE8,Moulting,M,4,exact,HI5,F,5,min,0,0
OPP293,2016-07-30,2016,12H 22M 0S,Allopreening,ED4,Moulting,M,5,exact,DG4,M,3,min,0,0
OPP294,2016-07-31,2016,7H 27M 0S,Chasing,FB7,Unornamented,M,1,exact,BI9,F,3,min,0,NA
OPP295,2016-07-31,2016,7H 59M 0S,Allopreening,GD0,Unornamented,M,1,exact,BG0,F,5,min,0,0
OPP296,2016-08-02,2016,7H 30M 0S,Courtship,JG3,Ornamented,M,5,min,HI0,F,2,exact,1,1
OPP297,2016-08-02,2016,7H 53M 0S,Chasing,DE5,Unornamented,F,5,min,HI0,F,2,exact,0,0
OPP298,2016-07-30,2016,7H 23M 0S,Allopreening,JG4,Unornamented,F,1,exact,GG1,M,2,exact,NA,0
OPP299,2016-08-02,2016,12H 38M 0S,Allopreening,HA7,Ornamented,M,4,exact,DC9,M,2,exact,0,1
OPP300,2016-07-19,2016,10H 44M 0S,Allopreening,GF4,Unornamented,F,2,exact,BJ4,M,2,exact,0,0
OPP301,2016-07-19,2016,11H 6M 0S,Allopreening,JH6,Unornamented,F,2,exact,HH2,M,2,exact,0,NA
OPP302,2016-07-19,2016,12H 18M 0S,Allopreening,EH7,Unornamented,F,2,exact,DB3,M,1,exact,1,0
OPP303,2016-07-20,2016,7H 0M 0S,Allopreening,FG3,Unornamented,M,1,exact,AA0,M,1,exact,0,NA
OPP304,2016-07-21,2016,9H 15M 0S,Allopreening,FB6,Unornamented,M,2,exact,AJ6,F,4,min,0,1
OPP305,2016-07-21,2016,9H 15M 0S,Chasing,IE0,Unornamented,F,3,exact,EB2,F,3,exact,0,0
OPP306,2016-07-22,2016,7H 38M 0S,Allopreening,FD5,Unornamented,M,3,exact,GE8,F,1,exact,1,0
OPP307,2016-07-22,2016,8H 10M 0S,Allopreening,CA3,Unornamented,M,2,exact,EG5,F,2,min,1,NA
OPP308,2016-07-22,2016,8H 52M 0S,Allopreening,GG1,Unornamented,M,2,exact,JG4,F,1,exact,NA,0
OPP309,2016-07-22,2016,12H 10M 0S,Courtship,HA7,Ornamented,M,4,exact,BJ9,M,4,min,0,0
OPP310,2016-07-22,2016,12H 10M 0S,Courtship,BJ9,Ornamented,M,4,min,JH6,F,2,exact,0,0
OPP311,2016-07-22,2016,12H 10M 0S,Courtship,HA7,Ornamented,M,4,exact,JH6,F,2,exact,1,0
OPP312,2016-07-22,2016,12H 39M 0S,Allopreening,AA2,Unornamented,F,2,min,BJ5,M,3,exact,1,0
OPP313,2016-07-22,2016,12H 40M 0S,Courtship,HA7,Ornamented,M,4,exact,HA6,M,2,exact,0,0
OPP314,2016-07-23,2016,8H 10M 0S,Allopreening,JF3,Unornamented,F,2,min,II6,M,2,exact,1,0
OPP315,2016-07-30,2016,7H 39M 0S,Allopreening,GD1,Unornamented,M,2,min,JC0,F,2,exact,0,NA
OPP316,2016-08-01,2016,7H 55M 0S,Allopreening,JC3,Unornamented,M,3,exact,DA1,F,3,exact,0,1
OPP317,2016-08-06,2016,9H 0M 0S,Courtship,IE6,Ornamented,M,3,exact,EG1,F,4,exact,0,0
OPP318,2016-08-06,2016,9H 0M 0S,Courtship,JC3,Ornamented,M,3,exact,EG1,F,4,exact,0,0
OPP319,2016-08-10,2016,14H 15M 0S,Allopreening,EI4,Unornamented,F,5,min,AA0,M,1,exact,0,NA
OPP320,2016-08-10,2016,14H 16M 0S,Allopreening,EI4,Unornamented,F,5,min,FB7,M,1,exact,1,NA
OPP321,2016-08-12,2016,7H 33M 0S,Chasing,JC5,Unornamented,F,6,min,HB0,F,4,min,NA,0
