Observation_ID,Date,Year,Day_of_year,Time,Bird_ID,Observer,Sex,Plumage_score,Plumage_group,Age,Age_exact,Alarm_calling,Allopreening,Calling,Chasing,Chipping,Courtship,Flying,Foraging,Other,Preening,Scolding,Singing,Sitting,U,Vocalizing,Observation_time,Alarm_calling_prop,Allopreening_prop,Chasing_prop,Courtship_prop,Flying_prop,Foraging_prop,Other_prop,Preening_prop,Sitting_prop,Vocalizing_prop
SMT094,2016-07-20,2016,202,1212,I10,SMT,M,0,DULL,2,exact,0,0,NA,0,NA,0,7,89,0,10,NA,NA,39,154,1,300,0,0,0,0,0.04794520547945205,0.6095890410958904,0,0.0684931506849315,0.2671232876712329,0.00684931506849315
SMT096,2016-07-19,2016,201,932,C03,SMT,M,0,DULL,3,min,0,0,NA,0,NA,0,9,195,0,2,NA,NA,56,36,2,300,0,0,0,0,0.03409090909090909,0.7386363636363636,0,0.007575757575757576,0.21212121212121213,0.007575757575757576
FFD102,2016-07-20,2016,202,651,L10,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,4,239,0,0,NA,NA,44,8,5,300,0,0,0,0,0.0136986301369863,0.8184931506849316,0,0,0.1506849315068493,0.017123287671232876
FFD104,2016-07-20,2016,202,922,J05,FFD,M,40,MOULT,5,exact,0,0,NA,0,NA,0,19,54,0,0,NA,NA,88,132,7,300,0,0,0,0,0.1130952380952381,0.32142857142857145,0,0,0.5238095238095238,0.041666666666666664
DEG020,2016-07-14,2016,196,955,C03,DEG,M,0,DULL,3,min,0,0,NA,0,NA,0,2,0,0,17,NA,NA,124,154,3,300,0,0,0,0,0.0136986301369863,0,0,0.11643835616438356,0.8493150684931506,0.02054794520547945
FFD108,2016-07-20,2016,202,1121,B07,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,4,134,0,0,NA,NA,65,93,4,300,0,0,0,0,0.01932367149758454,0.6473429951690821,0,0,0.3140096618357488,0.01932367149758454
FFD110,2016-07-20,2016,202,1232,N10,FFD,M,90,BRIGHT,3,exact,0,0,NA,0,NA,4,16,0,0,37,NA,NA,123,105,15,300,0,0,0,0.020512820512820513,0.08205128205128205,0,0,0.18974358974358974,0.6307692307692307,0.07692307692307693
FFD111,2016-07-20,2016,202,1243,V07,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,5,171,0,0,NA,NA,25,79,20,300,0,0,0,0,0.02262443438914027,0.7737556561085973,0,0,0.11312217194570136,0.09049773755656108
FFD112,2016-07-21,2016,203,809,Q02,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,2,116,0,0,NA,NA,11,171,0,300,0,0,0,0,0.015503875968992248,0.8992248062015504,0,0,0.08527131782945736,0
FFD113,2016-07-21,2016,203,908,C04,FFD,M,0,DULL,2,exact,0,0,NA,0,NA,0,6,24,0,39,NA,NA,60,168,3,300,0,0,0,0,0.045454545454545456,0.18181818181818182,0,0.29545454545454547,0.45454545454545453,0.022727272727272728
FFD116,2016-07-21,2016,203,1108,D08,FFD,M,60,MOULT,4,exact,0,0,NA,13,NA,0,11,71,0,33,NA,NA,156,13,3,300,0,0,0.04529616724738676,0,0.03832752613240418,0.24738675958188153,0,0.11498257839721254,0.5435540069686411,0.010452961672473868
